+------+----------------------+------------------------+---------------+
| Rank |      Drug Name       |      Target Name       | Binding Score |
+------+----------------------+------------------------+---------------+
|  1   |      Docosanol       | SARS-CoV2 3CL Protease |      0.04     |
|  2   |      Boceprevir      | SARS-CoV2 3CL Protease |      2.05     |
|  3   |     Glecaprevir      | SARS-CoV2 3CL Protease |     20.23     |
|  4   |   Podophyllotoxin    | SARS-CoV2 3CL Protease |     55.62     |
|  5   |     Methisazone      | SARS-CoV2 3CL Protease |     98.14     |
|  6   |    Fosamprenavir     | SARS-CoV2 3CL Protease |     137.06    |
|  7   |      Sofosbuvir      | SARS-CoV2 3CL Protease |     148.39    |
|  8   |     Dolutegravir     | SARS-CoV2 3CL Protease |     249.51    |
|  9   |      Darunavir       | SARS-CoV2 3CL Protease |     278.81    |
|  10  |     Bictegravir      | SARS-CoV2 3CL Protease |     285.10    |
|  11  |      Amprenavir      | SARS-CoV2 3CL Protease |     376.45    |
|  12  |      Atazanavir      | SARS-CoV2 3CL Protease |     568.69    |
|  13  |      Letermovir      | SARS-CoV2 3CL Protease |     577.15    |
|  14  |      Baloxavir       | SARS-CoV2 3CL Protease |     783.67    |
|  15  |      Foscarnet       | SARS-CoV2 3CL Protease |     802.43    |
|  16  |      Cidofovir       | SARS-CoV2 3CL Protease |     834.60    |
|  17  |      Ribavirin       | SARS-CoV2 3CL Protease |     923.20    |
|  18  |     Grazoprevir      | SARS-CoV2 3CL Protease |    1017.23    |
|  19  |       Inosine        | SARS-CoV2 3CL Protease |    1052.29    |
|  20  | Tenofovir_disoproxil | SARS-CoV2 3CL Protease |    1069.57    |
|  21  |     Idoxuridine      | SARS-CoV2 3CL Protease |    1207.04    |
|  22  |     Ibacitabine      | SARS-CoV2 3CL Protease |    1295.24    |
|  23  |      Vidarabine      | SARS-CoV2 3CL Protease |    1529.70    |
|  24  |     Taribavirin      | SARS-CoV2 3CL Protease |    1584.69    |
|  25  |      Tipranavir      | SARS-CoV2 3CL Protease |    1647.59    |
|  26  |       Imunovir       | SARS-CoV2 3CL Protease |    1679.56    |
|  27  |      Lopinavir       | SARS-CoV2 3CL Protease |    1851.03    |
|  28  |      Efavirenz       | SARS-CoV2 3CL Protease |    2156.35    |
|  29  |  Hydroxychloroquine  | SARS-CoV2 3CL Protease |    2333.75    |
|  30  |      Remdesivir      | SARS-CoV2 3CL Protease |    2451.79    |
|  31  |     Delavirdine      | SARS-CoV2 3CL Protease |    2476.68    |
|  32  |      Vicriviroc      | SARS-CoV2 3CL Protease |    2682.85    |
|  33  |       Adefovir       | SARS-CoV2 3CL Protease |    3008.06    |
|  34  |     Oseltamivir      | SARS-CoV2 3CL Protease |    3227.47    |
|  35  |     Enfuvirtide      | SARS-CoV2 3CL Protease |    3293.33    |
|  36  |      Peramivir       | SARS-CoV2 3CL Protease |    3321.05    |
|  37  |      Zanamivir       | SARS-CoV2 3CL Protease |    3641.51    |
