+------+-----------+-------------+---------------+
| Rank | Drug Name | Target Name | Binding Score |
+------+-----------+-------------+---------------+
|  1   |  Drug 55  |  Target 55  |      7.08     |
|  2   |  Drug 90  |  Target 90  |      6.84     |
|  3   |  Drug 49  |  Target 49  |      6.79     |
|  4   |  Drug 54  |  Target 54  |      6.52     |
|  5   |  Drug 21  |  Target 21  |      6.43     |
|  6   |  Drug 17  |  Target 17  |      6.25     |
|  7   |  Drug 45  |  Target 45  |      6.14     |
|  8   |  Drug 59  |  Target 59  |      5.99     |
|  9   |  Drug 15  |  Target 15  |      5.96     |
|  10  |  Drug 87  |  Target 87  |      5.80     |
|  11  |  Drug 30  |  Target 30  |      5.76     |
|  12  |  Drug 27  |  Target 27  |      5.73     |
|  13  |  Drug 33  |  Target 33  |      5.67     |
|  14  |  Drug 35  |  Target 35  |      5.64     |
|  15  |  Drug 39  |  Target 39  |      5.63     |
|  16  |  Drug 51  |  Target 51  |      5.62     |
|  17  |  Drug 97  |  Target 97  |      5.60     |
|  18  |  Drug 44  |  Target 44  |      5.55     |
|  19  |  Drug 36  |  Target 36  |      5.50     |
|  20  |  Drug 63  |  Target 63  |      5.45     |
|  21  |  Drug 80  |  Target 80  |      5.44     |
|  22  |  Drug 60  |  Target 60  |      5.42     |
|  23  |  Drug 58  |  Target 58  |      5.39     |
|  24  |  Drug 93  |  Target 93  |      5.38     |
|  25  |  Drug 29  |  Target 29  |      5.38     |
|  26  |  Drug 76  |  Target 76  |      5.37     |
|  27  |   Drug 1  |   Target 1  |      5.36     |
|  28  |  Drug 79  |  Target 79  |      5.35     |
|  29  |  Drug 28  |  Target 28  |      5.34     |
|  30  |   Drug 2  |   Target 2  |      5.34     |
|  31  |  Drug 92  |  Target 92  |      5.33     |
|  32  |  Drug 10  |  Target 10  |      5.33     |
|  33  |  Drug 74  |  Target 74  |      5.29     |
|  34  |  Drug 77  |  Target 77  |      5.28     |
|  35  |  Drug 89  |  Target 89  |      5.27     |
|  36  |  Drug 71  |  Target 71  |      5.26     |
|  37  |   Drug 7  |   Target 7  |      5.25     |
|  38  |  Drug 12  |  Target 12  |      5.24     |
|  39  |  Drug 73  |  Target 73  |      5.23     |
|  40  |  Drug 85  |  Target 85  |      5.22     |
|  41  |  Drug 96  |  Target 96  |      5.22     |
|  42  |  Drug 26  |  Target 26  |      5.21     |
|  43  |  Drug 43  |  Target 43  |      5.21     |
|  44  |   Drug 3  |   Target 3  |      5.20     |
|  45  |  Drug 38  |  Target 38  |      5.17     |
|  46  |  Drug 83  |  Target 83  |      5.16     |
|  47  |  Drug 40  |  Target 40  |      5.16     |
|  48  |   Drug 9  |   Target 9  |      5.15     |
|  49  |   Drug 6  |   Target 6  |      5.15     |
|  50  |  Drug 65  |  Target 65  |      5.14     |
|  51  |  Drug 23  |  Target 23  |      5.14     |
|  52  |  Drug 47  |  Target 47  |      5.13     |
|  53  |  Drug 86  |  Target 86  |      5.11     |
|  54  |  Drug 64  |  Target 64  |      5.11     |
|  55  |  Drug 66  |  Target 66  |      5.11     |
|  56  |   Drug 4  |   Target 4  |      5.11     |
|  57  |   Drug 8  |   Target 8  |      5.10     |
|  58  |  Drug 68  |  Target 68  |      5.09     |
|  59  |   Drug 0  |   Target 0  |      5.09     |
|  60  |  Drug 72  |  Target 72  |      5.08     |
|  61  |  Drug 52  |  Target 52  |      5.08     |
|  62  |  Drug 34  |  Target 34  |      5.07     |
|  63  |  Drug 48  |  Target 48  |      5.07     |
|  64  |  Drug 98  |  Target 98  |      5.07     |
|  65  |  Drug 25  |  Target 25  |      5.06     |
|  66  |  Drug 75  |  Target 75  |      5.06     |
|  67  |  Drug 41  |  Target 41  |      5.06     |
|  68  |  Drug 24  |  Target 24  |      5.06     |
|  69  |  Drug 99  |  Target 99  |      5.06     |
|  70  |  Drug 42  |  Target 42  |      5.05     |
|  71  |  Drug 18  |  Target 18  |      5.05     |
|  72  |  Drug 61  |  Target 61  |      5.05     |
|  73  |  Drug 94  |  Target 94  |      5.05     |
|  74  |  Drug 82  |  Target 82  |      5.04     |
|  75  |  Drug 22  |  Target 22  |      5.04     |
|  76  |  Drug 91  |  Target 91  |      5.04     |
|  77  |  Drug 32  |  Target 32  |      5.04     |
|  78  |  Drug 88  |  Target 88  |      5.04     |
|  79  |  Drug 16  |  Target 16  |      5.04     |
|  80  |  Drug 56  |  Target 56  |      5.04     |
|  81  |  Drug 57  |  Target 57  |      5.03     |
|  82  |  Drug 53  |  Target 53  |      5.03     |
|  83  |  Drug 95  |  Target 95  |      5.03     |
|  84  |  Drug 78  |  Target 78  |      5.02     |
|  85  |  Drug 67  |  Target 67  |      5.02     |
|  86  |  Drug 20  |  Target 20  |      5.02     |
|  87  |  Drug 50  |  Target 50  |      5.02     |
|  88  |  Drug 31  |  Target 31  |      5.02     |
|  89  |  Drug 13  |  Target 13  |      5.01     |
|  90  |  Drug 84  |  Target 84  |      5.01     |
|  91  |  Drug 11  |  Target 11  |      5.01     |
|  92  |  Drug 81  |  Target 81  |      5.00     |
|  93  |  Drug 69  |  Target 69  |      5.00     |
|  94  |  Drug 14  |  Target 14  |      5.00     |
|  95  |  Drug 62  |  Target 62  |      5.00     |
|  96  |  Drug 46  |  Target 46  |      4.99     |
|  97  |   Drug 5  |   Target 5  |      4.87     |
|  98  |  Drug 37  |  Target 37  |      4.82     |
|  99  |  Drug 19  |  Target 19  |      4.29     |
| 100  |  Drug 70  |  Target 70  |      4.03     |
+------+-----------+-------------+---------------+
